id,sequence_number,type_id,type_text,text,away_score,home_score,period_number,period_display_value,clock_display_value,scoring_play,score_value,shooting_play,coordinate_x_raw,coordinate_y_raw,season,season_type,away_team_id,away_team_name,away_team_mascot,away_team_abbrev,away_team_name_alt,home_team_id,home_team_name,home_team_mascot,home_team_abbrev,home_team_name_alt,home_team_spread,game_spread,home_favorite,game_spread_available,game_id,qtr,time,clock_minutes,clock_seconds,half,game_half,lead_qtr,lead_game_half,start_quarter_seconds_remaining,start_half_seconds_remaining,start_game_seconds_remaining,game_play_number,end_quarter_seconds_remaining,end_half_seconds_remaining,end_game_seconds_remaining,period,athlete_id_1,athlete_id_2,athlete_id_3,lag_qtr,lag_game_half,coordinate_x,coordinate_y,game_date,game_date_time,type_abbreviation,wallclock,home_timeout_called,away_timeout_called,lead_half,lag_half,points_attempted,short_description,jumpball_type,team_id_1,athlete_position_1,athlete_guid_1,athlete_draft_height_1,athlete_draft_weight_1,team_id_2,athlete_position_2,athlete_guid_2,athlete_draft_height_2,athlete_draft_weight_2,team_id_3,athlete_position_3,athlete_guid_3,athlete_draft_height_3,athlete_draft_weight_3,time_elapsed,time_rounded,score_diff,score_diff_clipped,wp_leverage,home_won_jumpball,jumpball_winner_id,jumpball_loser_id,jumpball_winner_team,jumpball_loser_team,jumpball_winner_pos,jumpball_loser_pos
25111202700001.0,2,11,Jump Ball,Jumpball: Rasho Nesterovic vs. Jared Jeffries. Bruce Bowen gains possession.,0,0,1,1st Quarter,12:00,False,0,False,0.0,0.0,2006,2,24,San Antonio,Spurs,SA,San Antonio,27,Washington,Wizards,WSH,Washington,2.5,2.5,True,False,251112027,1,12:00,12,0.0,1,1,1,1.0,720.0,1320.0,2520.0,2,720.0,1320.0,2520.0,1,598.0,1717.0,83.0,1.0,1.0,-41.75,-25.0,2005-11-12,2005-11-12 19:00:00-05:00,,,,,,,,,start-of-game,24.0,C,00c512d3-081d-18eb-d0b4-8a29f561664d,,,27.0,PF,9812d96b-7954-f4f7-1548-4a4acdb9c3fd,,,24.0,SF,8af6ad7d-ea64-a69e-c95d-bd3401992b85,,,0.0,45.0,0,0,0.0068,False,24.0,27.0,San Antonio,Washington,C,PF
25011101800001.0,2,11,Jump Ball,Jumpball: P.J. Brown vs. Nazr Mohammed. J.R. Smith gains possession.,0,0,1,1st Quarter,12:00,False,0,False,0.0,0.0,2005,2,3,New Orleans,Hornets,NO,New Orleans,18,New York,Knicks,NY,New York,2.5,2.5,True,False,250111018,1,12:00,12,0.0,1,1,1,1.0,720.0,1320.0,2520.0,2,720.0,1320.0,2520.0,1,99.0,568.0,2444.0,1.0,1.0,-41.75,-25.0,2005-01-11,2005-01-11 19:30:00-05:00,,,,,,,,,start-of-game,3.0,PF,fb9d1885-c4fc-4952-b935-61d2369f627f,,,18.0,C,9389aee6-25f0-5a9b-221f-3108e57f8e9a,,,3.0,G,c53401ce-1c3a-eb9e-9540-ce09eba960d5,79.0,227.0,0.0,45.0,0,0,0.0068,False,3.0,18.0,New Orleans,New York,PF,C
22032501200001.0,2,11,Jump Ball,Jumpball. David Robinson vs. Michael Olowokandi. Tony Parker gains possession.,0,0,1,1st Quarter,12:00,False,0,False,0.0,0.0,2002,2,24,San Antonio,Spurs,SA,San Antonio,12,LA,Clippers,LAC,LA,2.5,2.5,True,False,220325012,1,12:00,12,0.0,1,1,1,1.0,720.0,1320.0,2520.0,2,720.0,1320.0,2520.0,1,715.0,621.0,1015.0,1.0,1.0,-41.75,-25.0,2002-03-25,2002-03-25 19:30:00-05:00,,,,,,,,,start-of-game,,,,,,,,,,,,,,,,0.0,45.0,0,0,0.0068,,,,,,,
40181103444.0,44,615,Jumpball,E.J. Liddell vs. Cormac Ryan (Malachi Smith gains possession),3,15,1,1st Quarter,7:41,False,0,False,-214748340.0,-214748365.0,2026,2,17,Brooklyn,Nets,BKN,Brooklyn,15,Milwaukee,Bucks,MIL,Milwaukee,2.5,2.5,True,False,401811034,1,7:41,7,41.0,1,1,1,,461.0,1181.0,2621.0,29,457.0,1177.0,2617.0,1,4432821.0,4397114.0,4397784.0,1.0,,-214748406.75,-214748365.0,2026-04-10,2026-04-10 20:00:00-04:00,,2026-04-11T00:17:51Z,False,False,1.0,1.0,0.0,Jump Ball,in-game,17.0,F,92e336df-b89f-3611-bef0-df37b16d1745,79.0,240.0,15.0,G,e6a219e0-493c-da35-48cd-416b62579190,,,17.0,G,324ae2a7-5d57-2702-4850-2bdc9068ea25,,,259.0,270.0,12,12,0.0044,False,17.0,15.0,Brooklyn,Milwaukee,F,G
28112000200001.0,2,11,Jump Ball,Jumpball: Kwame Brown vs. Kendrick Perkins (Allen Iverson gains possession),0,0,1,1st Quarter,12:00,False,0,False,0.0,0.0,2009,2,8,Detroit,Pistons,DET,Detroit,2,Boston,Celtics,BOS,Boston,2.5,2.5,True,False,281120002,1,12:00,12,0.0,1,1,1,1.0,720.0,1320.0,2520.0,2,720.0,1320.0,2520.0,1,981.0,2018.0,366.0,1.0,1.0,-41.75,-25.0,2008-11-20,2008-11-20 20:00:00-05:00,,,,,,,,,start-of-game,8.0,C,fa9196aa-84ea-559c-a816-b4a0358de90f,,,2.0,C,8fb86ea3-cca9-c043-6be4-42d55b19acfc,83.0,290.0,8.0,SG,ca1d1609-ab9a-6cd1-283a-6aac291ca192,,,0.0,45.0,0,0,0.0068,False,8.0,2.0,Detroit,Boston,C,C
401810757657.0,657,615,Jumpball,Al Horford vs. Jabari Smith Jr. (De'Anthony Melton gains possession),101,101,4,4th Quarter,0:4.0,False,0,False,-214748340.0,-214748365.0,2026,2,9,Golden State,Warriors,GS,Golden St,10,Houston,Rockets,HOU,Houston,2.5,2.5,True,False,401810757,4,0:4.0,0,4.0,2,2,4,,4.0,4.0,4.0,448,2.3,2.3,2.3,4,3213.0,4432639.0,4066436.0,4.0,,-214748406.75,-214748365.0,2026-03-05,2026-03-05 19:30:00-05:00,,2026-03-06T02:59:19Z,False,False,2.0,2.0,0.0,Jump Ball,in-game,9.0,C,b79dd16a-5d4b-d704-9b0c-eaa9ec3df217,82.0,246.0,10.0,F,177499ed-dca9-30ab-b6b2-d4162549fd6a,82.0,0.0,9.0,G,4701e165-6b05-a4be-91d4-1f97ca5baafc,75.0,193.0,2876.0,2880.0,0,0,0.0122,False,9.0,10.0,Golden State,Houston,C,F
401584901124.0,124,615,Jumpball,Daniel Theis vs. Jonathan Kuminga (Norman Powell gains possession),22,28,1,1st Quarter,1:20,False,0,False,-214748340.0,-214748365.0,2024,2,12,LA,Clippers,LAC,LA,9,Golden State,Warriors,GS,Golden St,2.5,2.5,True,False,401584901,1,1:20,1,20.0,1,1,1,,80.0,800.0,2240.0,89,80.0,800.0,2240.0,1,2451037.0,4433247.0,2595516.0,1.0,,-214748406.75,-214748365.0,2023-11-30,2023-11-30 22:00:00-05:00,,2023-12-01T03:34:08Z,False,False,1.0,1.0,,,in-game,12.0,C,ce75206c-087f-83ac-e6f9-a8e3efbd9671,,,9.0,F,fa4aeb82-1488-3163-b374-4e0cdd9cb23a,,,12.0,G,4941d040-1812-cbb0-27bf-598cd624bc84,76.0,215.0,640.0,675.0,6,6,0.0085,False,12.0,9.0,LA,Golden State,C,F
30121802700001.0,2,11,Jump Ball,Jumpball: Zydrunas Ilgauskas vs. JaVale McGee (Al Thornton gains possession),0,0,1,1st Quarter,12:00,False,0,False,0.0,0.0,2011,2,14,Miami,Heat,MIA,Miami,27,Washington,Wizards,WSH,Washington,2.5,2.5,True,False,301218027,1,12:00,12,0.0,1,1,1,1.0,720.0,1320.0,2520.0,2,720.0,1320.0,2520.0,1,362.0,3452.0,3237.0,1.0,1.0,41.75,25.0,2010-12-18,2010-12-18 19:00:00-05:00,,,,,,,,,start-of-game,14.0,C,dea027f7-d90d-dc1b-1877-7366a9e4e798,,,27.0,C,98d52496-d7a1-9d8d-d9a8-bbd1fc5e362d,84.0,241.0,27.0,SF,defee459-ed71-8517-0bd9-bbbf8cc40f10,79.0,221.0,0.0,45.0,0,0,0.0068,True,27.0,14.0,Washington,Miami,C,C
4014693814.0,4,615,Jumpball,Kenneth Lofton Jr. vs. Olivier Sarr (Tre Mann gains possession),0,0,1,1st Quarter,12:00,False,0,False,-214748340.0,-214748365.0,2023,2,29,Memphis,Grizzlies,MEM,Memphis,25,Oklahoma City,Thunder,OKC,Oklahoma City,2.0,2.0,True,True,401469381,1,12:00,12,0.0,1,1,1,,720.0,1440.0,2880.0,1,720.0,1440.0,2880.0,1,4278046.0,4585610.0,4432819.0,,,214748406.75,214748365.0,2023-04-09,2023-04-09 15:30:00-04:00,,2023-04-09T19:40:45Z,False,False,1.0,,,,start-of-game,25.0,F,679cfd9d-368f-a5b3-f779-628ad85c018c,,,29.0,F,30a2adab-60e2-3fd2-a8b9-266714dca188,,,25.0,G,9c80056b-c667-30bd-89d0-d905425b1d1c,77.0,190.0,0.0,45.0,0,0,0.0068,True,25.0,29.0,Oklahoma City,Memphis,F,F
400278315129.0,129,11,Jump Ball,Darrell Arthur vs. Taj Gibson (Wayne Ellington gains possession),24,24,2,2nd Quarter,9:10,False,0,False,25.0,-8.0,2013,2,29,Memphis,Grizzlies,MEM,Memphis,4,Chicago,Bulls,CHI,Chicago,-2.0,2.0,False,True,400278315,2,9:10,9,10.0,1,1,2,1.0,550.0,550.0,1750.0,115,550.0,550.0,1750.0,2,3986.0,3413.0,3981.0,2.0,1.0,49.75,-0.0,2013-01-19,2013-01-19 20:00:00-05:00,,,,,,,,,in-game,4.0,F,10759c57-e920-b75a-bcb9-43f9ec99c4dc,82.0,214.0,29.0,F,c19c6bcb-97fa-e56b-a456-402882bc2a79,81.0,216.0,29.0,SG,f949acb6-6382-4b8f-848b-00730ad25325,77.0,202.0,890.0,900.0,0,0,0.0115,False,29.0,4.0,Memphis,Chicago,F,F
